route_code,route_name,passengers
AT_LOWW_HR_LDZA,WIEN-SCHWECHAT airport - ZAGREB/FRANJO TUDJMAN airport,83559
AT_LOWW_HU_LHBP,WIEN-SCHWECHAT airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport,54622
AT_LOWW_IE_EIDW,WIEN-SCHWECHAT airport - DUBLIN airport,109678
AT_LOWW_IL_LLBG,WIEN-SCHWECHAT airport - TEL-AVIV/BEN GURION airport,301859
AT_LOWW_IN_VIDP,WIEN-SCHWECHAT airport - DELHI (IGI) airport,43194
AT_LOWW_IR_OIIE,WIEN-SCHWECHAT airport - TEHRAN/IMAM KHOMAINI INTL airport,55689
AT_LOWW_IT_LIBD,WIEN-SCHWECHAT airport - BARI/PALESE airport,45170
AT_LOWW_IT_LICC,WIEN-SCHWECHAT airport - CATANIA/FONTANAROSSA airport,57218
AT_LOWW_IT_LIMC,WIEN-SCHWECHAT airport - MILANO/MALPENSA airport,227821
AT_LOWW_IT_LIME,WIEN-SCHWECHAT airport - BERGAMO/ORIO AL SERIO airport,56322
AT_LOWW_IT_LIPE,WIEN-SCHWECHAT airport - BOLOGNA/BORGO PANIGALE airport,93307
AT_LOWW_IT_LIPZ,WIEN-SCHWECHAT airport - VENEZIA/TESSERA airport,93549
AT_LOWW_IT_LIRF,WIEN-SCHWECHAT airport - ROMA/FIUMICINO airport,280795
AT_LOWW_IT_LIRN,WIEN-SCHWECHAT airport - NAPOLI/CAPODICHINO airport,70391
AT_LOWW_JO_OJAI,WIEN-SCHWECHAT airport - AMMAN/QUEEN ALIA airport,50585
AT_LOWW_JP_RJAA,WIEN-SCHWECHAT airport - NARITA INTL airport,53242
AT_LOWW_JP_RJTT,WIEN-SCHWECHAT airport - TOKYO INTL airport,55940
AT_LOWW_KR_RKSI,WIEN-SCHWECHAT airport - INCHEON INTL airport,44446
AT_LOWW_LU_ELLX,WIEN-SCHWECHAT airport - LUXEMBOURG airport,62452
AT_LOWW_LV_EVRA,WIEN-SCHWECHAT airport - RIGA airport,66513
AT_LOWW_MA_GMMX,WIEN-SCHWECHAT airport - MARRAKECH/MENARA airport,46893
AT_LOWW_MD_LUKK,WIEN-SCHWECHAT airport - CHISINAU/INTERNATIONAL airport,77652
AT_LOWW_ME_LYPG,WIEN-SCHWECHAT airport - PODGORICA airport,42283
AT_LOWW_MK_LWSK,WIEN-SCHWECHAT airport - SKOPJE airport,66723
AT_LOWW_MT_LMML,WIEN-SCHWECHAT airport - LUQA airport,67322
AT_LOWW_NL_EHAM,WIEN-SCHWECHAT airport - AMSTERDAM/SCHIPHOL airport,477266
AT_LOWW_NO_ENGM,WIEN-SCHWECHAT airport - OSLO/GARDERMOEN airport,87651
AT_LOWW_PL_EPKK,WIEN-SCHWECHAT airport - KRAKOW/BALICE airport,63967
AT_LOWW_PL_EPWA,WIEN-SCHWECHAT airport - WARSZAWA/CHOPINA airport,193714
AT_LOWW_PT_LPPT,WIEN-SCHWECHAT airport - LISBOA airport,167974
AT_LOWW_QA_OTHH,WIEN-SCHWECHAT airport - HAMAD INTERNATIONAL airport,117117
AT_LOWW_RO_LROP,WIEN-SCHWECHAT airport - BUCURESTI/HENRI COANDA airport,314763
AT_LOWW_RS_LYBE,WIEN-SCHWECHAT airport - BEOGRAD/NIKOLA TESLA airport,102122
AT_LOWW_RU_ULLI,WIEN-SCHWECHAT airport - SANKT-PETERBURG/PULKOVO airport,46578
AT_LOWW_RU_UUDD,WIEN-SCHWECHAT airport - MOSCOW/DOMODEDOVO airport,97979
AT_LOWW_RU_UUEE,WIEN-SCHWECHAT airport - MOSCOW/SHEREMETYEVO airport,178005
AT_LOWW_SE_ESSA,WIEN-SCHWECHAT airport - STOCKHOLM/ARLANDA airport,130970
AT_LOWW_TH_VTBS,WIEN-SCHWECHAT airport - BANGKOK/SUVARNABHUMI INTL airport,178868
AT_LOWW_TR_LTAI,WIEN-SCHWECHAT airport - ANTALYA (MIL-CIV) airport,137322
AT_LOWW_TR_LTBA,WIEN-SCHWECHAT airport - ISTANBUL/ATATURK airport,49873
AT_LOWW_TR_LTFJ,WIEN-SCHWECHAT airport - ISTANBUL/SABIHA GOKCEN airport,151545
AT_LOWW_TR_LTFM,WIEN-SCHWECHAT airport - ISTANBUL/ISTANBUL HAVALIMANI airport,173244
AT_LOWW_TW_RCTP,WIEN-SCHWECHAT airport - TAIBEI CITY/TAIBEI INTL AP airport,139978
AT_LOWW_UA_UKBB,WIEN-SCHWECHAT airport - KYIV/BORYSPIL airport,195811
AT_LOWW_UA_UKKK,WIEN-SCHWECHAT airport - KYIV/ZHULIANY airport,56378
AT_LOWW_UK_EGCC,WIEN-SCHWECHAT airport - MANCHESTER airport,58714
AT_LOWW_UK_EGKK,WIEN-SCHWECHAT airport - LONDON GATWICK airport,142409
AT_LOWW_UK_EGLL,WIEN-SCHWECHAT airport - LONDON HEATHROW airport,421656
AT_LOWW_UK_EGSS,WIEN-SCHWECHAT airport - LONDON STANSTED airport,116195
AT_LOWW_US_KEWR,WIEN-SCHWECHAT airport - NEWARK LIBERTY INTERNATIONAL NJ. airport,67791
AT_LOWW_US_KIAD,"WIEN-SCHWECHAT airport - WASHINGTON DULLES INTERNATIONAL, DC. airport",56918
AT_LOWW_US_KJFK,"WIEN-SCHWECHAT airport - NEW YORK/JOHN F. KENNEDY INTERNATIONAL, NY. airport",62952
AT_LOWW_US_KLAX,"WIEN-SCHWECHAT airport - LOS ANGELES INTERNATIONAL, CA. airport",57043
AT_LOWW_US_KORD,"WIEN-SCHWECHAT airport - CHICAGO - O'HARE INTERNATIONAL, IL. airport",80965
AT_LOWW_XK_LYPR,WIEN-SCHWECHAT airport - PRISTINA airport,115928
BE_EBAW_ES_LEAL,ANTWERPEN/DEURNE airport - ALICANTE airport,25629
BE_EBAW_ES_LEMG,ANTWERPEN/DEURNE airport - MALAGA/COSTA DEL SOL airport,22350
BE_EBAW_ES_LEPA,ANTWERPEN/DEURNE airport - PALMA DE MALLORCA airport,7994
BE_EBAW_MA_GMMW,ANTWERPEN/DEURNE airport - NADOR/EL AROUI airport,13999
BE_EBAW_MA_GMTT,ANTWERPEN/DEURNE airport - TANGER/IBN BATOUTA airport,8900
BE_EBAW_ZZ_ZZZZ,ANTWERPEN/DEURNE airport - Unknown airport,9796
BE_EBBR_AE_OMAA,BRUSSELS airport - ABU DHABI INTERNATIONAL airport,81060
BE_EBBR_AE_OMDB,BRUSSELS airport - DUBAI INTERNATIONAL airport,182729
BE_EBBR_AT_LOWW,BRUSSELS airport - WIEN-SCHWECHAT airport,242058
BE_EBBR_BF_DFFD,BRUSSELS airport - OUAGADOUGOU airport,41848
BE_EBBR_CA_CYUL,"BRUSSELS airport - MONTREAL/PIERRE ELLIOT TRUDEAU INTL, QC airport",110662
BE_EBBR_CA_CYYZ,"BRUSSELS airport - TORONTO/LESTER B. PEARSON INTL, ON airport",51334
BE_EBBR_CH_LSGG,BRUSSELS airport - GENEVA airport,306828
BE_EBBR_CH_LSZH,BRUSSELS airport - ZURICH airport,162061
BE_EBBR_CI_DIAP,BRUSSELS airport - ABIDJAN/FELIX HOUPHOUET BOIGNY airport,37092
BE_EBBR_CM_FKKD,BRUSSELS airport - DOUALA/AEROPORT airport,79601
BE_EBBR_CN_ZBAA,BRUSSELS airport - BEIJING/CAPITAL airport,59570
BE_EBBR_CZ_LKPR,BRUSSELS airport - PRAHA/RUZYNE airport,333833
BE_EBBR_DE_EDDB,BRUSSELS airport - BERLIN-BRANDENBURG airport,82555
BE_EBBR_DE_EDDF,BRUSSELS airport - FRANKFURT/MAIN airport,292262
BE_EBBR_DE_EDDH,BRUSSELS airport - HAMBURG airport,98655
BE_EBBR_DE_EDDM,BRUSSELS airport - MUENCHEN airport,220571
BE_EBBR_DE_EDDT,BRUSSELS airport - BERLIN-TEGEL airport,176142
BE_EBBR_DK_EKBI,BRUSSELS airport - BILLUND airport,53725
BE_EBBR_DK_EKCH,BRUSSELS airport - KOBENHAVN/KASTRUP airport,237392
BE_EBBR_EG_HEGN,BRUSSELS airport - HURGHADA / INTL airport,52213
BE_EBBR_EL_LGAV,BRUSSELS airport - ATHINAI/ELEFTHERIOS VENIZELOS airport,134547
BE_EBBR_EL_LGIR,BRUSSELS airport - IRAKLION/NIKOS KAZANTZAKIS airport,79762
BE_EBBR_EL_LGKO,BRUSSELS airport - KOS/IPPOKRATIS airport,40409
BE_EBBR_EL_LGRP,BRUSSELS airport - RODOS/DIAGORAS airport,43956
BE_EBBR_ES_GCLP,BRUSSELS airport - GRAN CANARIA airport,57373
BE_EBBR_ES_GCRR,BRUSSELS airport - LANZAROTE airport,46199
BE_EBBR_ES_GCTS,BRUSSELS airport - TENERIFE SUR/REINA SOFIA airport,134316
BE_EBBR_ES_LEAL,BRUSSELS airport - ALICANTE airport,202792
BE_EBBR_ES_LEBB,BRUSSELS airport - BILBAO airport,77183
BE_EBBR_ES_LEBL,BRUSSELS airport - BARCELONA/EL PRAT airport,474467
BE_EBBR_ES_LEMD,BRUSSELS airport - ADOLFO SUAREZ MADRID-BARAJAS airport,541474
BE_EBBR_ES_LEMG,BRUSSELS airport - MALAGA/COSTA DEL SOL airport,266063
BE_EBBR_ES_LEPA,BRUSSELS airport - PALMA DE MALLORCA airport,97395
BE_EBBR_ES_LEVC,BRUSSELS airport - VALENCIA airport,114290
BE_EBBR_FI_EFHK,BRUSSELS airport - HELSINKI/VANTAA airport,116447
BE_EBBR_FR_LFBD,BRUSSELS airport - BORDEAUX-MERIGNAC airport,41549
BE_EBBR_FR_LFBO,BRUSSELS airport - TOULOUSE/BLAGNAC airport,95428
BE_EBBR_FR_LFLL,BRUSSELS airport - LYON SAINT-EXUPERY airport,132067
BE_EBBR_FR_LFML,BRUSSELS airport - MARSEILLE-PROVENCE airport,78308
BE_EBBR_FR_LFMN,BRUSSELS airport - NICE-COTE D'AZUR airport,194390
