ranking,type,route_code,passengers,route_name,origin_airport_code,origin_airport_country,origin_airport_icao,origin_airport_name,destination_airport_code,destination_airport_country,destination_airport_icao,destination_airport_name
3496,international,EL_LGMK_ES_LEBL,14690,MIKONOS airport - BARCELONA/EL PRAT airport,EL_LGMK,EL,LGMK,MIKONOS airport,ES_LEBL,ES,LEBL,BARCELONA/EL PRAT airport
3497,domestic,ES_LEVD_ES_LEZL,14680,VALLADOLID airport - SEVILLA airport,ES_LEVD,ES,LEVD,VALLADOLID airport,ES_LEZL,ES,LEZL,SEVILLA airport
3498,international,DE_EDSB_PT_LPPT,14662,KARLSRUHE/BADEN-BADEN airport - LISBOA airport,DE_EDSB,DE,EDSB,KARLSRUHE/BADEN-BADEN airport,PT_LPPT,PT,LPPT,LISBOA airport
3499,international,ES_LEPA_SE_ESMS,14620,PALMA DE MALLORCA airport - MALMO airport,ES_LEPA,ES,LEPA,PALMA DE MALLORCA airport,SE_ESMS,SE,ESMS,MALMO airport
3500,domestic,IT_LIEA_IT_LIMF,14608,ALGHERO/FERTILIA airport - TORINO/CASELLE airport,IT_LIEA,IT,LIEA,ALGHERO/FERTILIA airport,IT_LIMF,IT,LIMF,TORINO/CASELLE airport
3501,domestic,FR_LFBD_FR_LFKF,14605,BORDEAUX-MERIGNAC airport - FIGARI-SUD-CORSE airport,FR_LFBD,FR,LFBD,BORDEAUX-MERIGNAC airport,FR_LFKF,FR,LFKF,FIGARI-SUD-CORSE airport
3502,international,DE_EDLV_ES_LEIB,14602,NIEDERRHEIN airport - IBIZA airport,DE_EDLV,DE,EDLV,NIEDERRHEIN airport,ES_LEIB,ES,LEIB,IBIZA airport
3503,international,ES_LEMD_SK_LZIB,14597,ADOLFO SUAREZ MADRID-BARAJAS airport - BRATISLAVA/M.R.STEFANIK airport,ES_LEMD,ES,LEMD,ADOLFO SUAREZ MADRID-BARAJAS airport,SK_LZIB,SK,LZIB,BRATISLAVA/M.R.STEFANIK airport
3504,international,DE_EDDM_EL_LGKV,14567,MUENCHEN airport - KAVALA/MEGAS ALEXANDROS airport,DE_EDDM,DE,EDDM,MUENCHEN airport,EL_LGKV,EL,LGKV,KAVALA/MEGAS ALEXANDROS airport
3505,international,CH_LSGG_UK_EGMC,14564,GENEVA airport - SOUTHEND airport,CH_LSGG,CH,LSGG,GENEVA airport,UK_EGMC,UK,EGMC,SOUTHEND airport
3506,international,DE_EDFH_LV_EVRA,14550,FRANKFURT-HAHN airport - RIGA airport,DE_EDFH,DE,EDFH,FRANKFURT-HAHN airport,LV_EVRA,LV,EVRA,RIGA airport
3507,domestic,ES_LEVC_ES_LEVX,14541,VALENCIA airport - VIGO airport,ES_LEVC,ES,LEVC,VALENCIA airport,ES_LEVX,ES,LEVX,VIGO airport
3508,international,DE_EDDF_ME_LYPG,14491,FRANKFURT/MAIN airport - PODGORICA airport,DE_EDDF,DE,EDDF,FRANKFURT/MAIN airport,ME_LYPG,ME,LYPG,PODGORICA airport
3509,international,EL_LGPZ_UK_EGLL,14491,PREVEZA/AKTION airport - LONDON HEATHROW airport,EL_LGPZ,EL,LGPZ,PREVEZA/AKTION airport,UK_EGLL,UK,EGLL,LONDON HEATHROW airport
3510,international,BE_EBBR_RO_LRIA,14408,BRUSSELS airport - IASI airport,BE_EBBR,BE,EBBR,BRUSSELS airport,RO_LRIA,RO,LRIA,IASI airport
3511,domestic,ES_GCLP_ES_LEAS,14400,GRAN CANARIA airport - ASTURIAS airport,ES_GCLP,ES,GCLP,GRAN CANARIA airport,ES_LEAS,ES,LEAS,ASTURIAS airport
3512,international,DK_EKYT_NO_ENGM,14382,AALBORG airport - OSLO/GARDERMOEN airport,DK_EKYT,DK,EKYT,AALBORG airport,NO_ENGM,NO,ENGM,OSLO/GARDERMOEN airport
3513,domestic,ES_GCXO_ES_LEVX,14374,TENERIFE NORTE airport - VIGO airport,ES_GCXO,ES,GCXO,TENERIFE NORTE airport,ES_LEVX,ES,LEVX,VIGO airport
3514,international,EL_LGKL_UK_EGCC,14360,KALAMATA airport - MANCHESTER airport,EL_LGKL,EL,LGKL,KALAMATA airport,UK_EGCC,UK,EGCC,MANCHESTER airport
3515,domestic,IT_LIEE_IT_LIMJ,14340,CAGLIARI/ELMAS airport - GENOVA/SESTRI airport,IT_LIEE,IT,LIEE,CAGLIARI/ELMAS airport,IT_LIMJ,IT,LIMJ,GENOVA/SESTRI airport
3516,international,AT_LOWW_SE_ESMS,14336,WIEN-SCHWECHAT airport - MALMO airport,AT_LOWW,AT,LOWW,WIEN-SCHWECHAT airport,SE_ESMS,SE,ESMS,MALMO airport
3517,international,DE_EDSB_MT_LMML,14330,KARLSRUHE/BADEN-BADEN airport - LUQA airport,DE_EDSB,DE,EDSB,KARLSRUHE/BADEN-BADEN airport,MT_LMML,MT,LMML,LUQA airport
3518,international,DK_EKBI_ES_LEGE,14324,BILLUND airport - GIRONA airport,DK_EKBI,DK,EKBI,BILLUND airport,ES_LEGE,ES,LEGE,GIRONA airport
3519,international,ES_LEPA_PL_EPPO,14311,PALMA DE MALLORCA airport - POZNAN/LAWICA airport,ES_LEPA,ES,LEPA,PALMA DE MALLORCA airport,PL_EPPO,PL,EPPO,POZNAN/LAWICA airport
3520,international,ES_LEMI_UK_EGMC,14310,MURCIA/AEROPUERTO DE LA REGION DE MURCIA airport - SOUTHEND airport,ES_LEMI,ES,LEMI,MURCIA/AEROPUERTO DE LA REGION DE MURCIA airport,UK_EGMC,UK,EGMC,SOUTHEND airport
